"Species","SKIBA_8","SKIBA_9","SKIBA_10","SKIBA_11","SKIBA_12","Wakasu_8","Wakasu_9","Wakasu_10","Wakasu_11","Wakasu_12"
"Evynnis cardinalis / Evynnis tumifrons",0,0,0,0,0,0,0,0,0,0
"Favonigobius gymnauchen",0,0,0,0,0,0,0,0,0,0
"Favonigobius sp.",0,0,0,0,0,0,0,0,0,0
"Fistularia petimba",0,0,0,0,0,0,0,0,0,0
"Gobio gobio",0,0,0,0,0,0,0,0,0,0
"Gomphosus varius",0,0,0,0,0,0,0,0,0,0
"Gymnapogon sp.",0,0,0,0,0,0,0,0,0,0
"Hypophthalmichthys molitrix / Hypophthalmichthys nobilis",0,0,0,0,0,0,0,0,0,0
"Leptoscarus vaigiensis",0,0,0,0,0,0,0,0,0,0
"Malakichthys griseus",0,0,0,0,0,0,0,0,0,0
"Muraenesox cinereus",0,0,0,0,0,0,0,0,0,0
"Nemipterus virgatus / Nemipterus japonicus",0,0,0,0,0,0,0,0,0,0
"Oncorhynchus keta",0,0,0,0,0,0,0,0,0,0
"Oryzias latipes",0,0,0,0,0,0,0,0,0,0
"Parapercis pulchella",0,0,0,0,0,0,0,0,0,0
"Parioglossus philippinus",0,0,0,0,0,0,0,0,0,0
"Plectroglyphidodon altus",0,0,0,0,0,0,0,0,0,0
"Plectroglyphidodon leucozonus",0,0,0,0,0,0,0,0,0,0
"Plicomugil labiosus",0,0,0,0,0,0,0,0,0,0
"Pteragogus aurigarius / Pteragogus flagellifer",0,0,0,0,0,0,0,0,0,0
"Sagamia geneionema",0,0,0,0,0,0,0,0,0,0
"Scartella emarginata",0,0,0,0,0,0,0,0,0,0
"Selar crumenophthalmus",0,0,0,0,0,0,0,0,0,0
"Seriola dumerili",0,0,0,0,0,0,0,0,0,0
"Thalassoma lunare",0,0,0,0,0,0,0,0,0,0
"Thunnus orientalis / Thunnus thynnus / Thunnus alalunga",0,0,0,0,0,0,0,0,0,0
"Thunnus thynnus",0,0,0,0,0,0,0,0,0,0
"Trachipterus ishikawae",0,0,0,0,0,0,0,0,0,0
"Tylosurus crocodilus crocodilus",0,0,0,0,0,0,0,0,0,0
"Zanclus cornutus",0,0,0,0,0,0,0,0,0,0
"Bleekeria mitsukurii",0,0,0,0,0,0,0,0,0,0
"Brotula multibarbata",0,0,0,0,0,0,0,0,0,0
"Ctenochaetus binotatus",0,0,0,0,0,0,0,0,0,0
"Cyprinus carpio",0,0,0,0,0,0,0,21,0,0
"Eleotris fusca",0,0,0,0,0,0,0,0,0,0
"Enchelycore pardalis",0,0,0,0,0,0,0,0,0,0
